country	local_id	global_id	type	day	month	year	participant_age	participant_gender	participant_occupation	participant_occ_detail	participant_education	participant_edu_length	participant_school_year	participant_nationality	hh_size	hh_age_1	hh_age_2	hh_age_3	hh_age_4	hh_age_5	hh_age_6	hh_age_7	hh_age_8	hh_age_9	hh_age_10	hh_age_11	hh_age_12	hh_age_13	hh_age_14	hh_age_15	hh_age_16	hh_age_17	hh_age_18	hh_age_19	hh_age_20	class_size	work_contacts	work_contacts_nr	child_care	child_care_nr	child_relationship	child_nationality	problems	diary_how	diary_missed_unsp	diary_missed_skin	diary_missed_noskin	diary_weight	dayofweek	cnt_count
BE	66	7320	1	22	3	2006	57	F	2	 	2	9	 	BE	3	21	61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0135	3	7
BE	67	7321	1	24	3	2006	70	M	2	 	7	15	 	BE	2	69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	2.285	5	21
BE	68	7322	1	24	3	2006	55	F	6	 	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	1.0573	5	9
BE	69	7323	1	23	3	2006	32	M	1	8	4	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	80	 	 	 	 	N	2	2	 	 	0.8324	4	100
BE	70	7324	1	20	3	2006	18	F	5	 	3	12	 	BE	6	15	16	36	49	72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	0.6122	1	19
BE	71	7325	1	22	3	2006	32	F	1	6	7	15	 	BE	3	2	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	1	2	 	 	0.7721	3	19
BE	72	7326	3	24	3	2006	8	M	1	8	3	12	 	BE	5	1	5	24	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	2	BE	N	2	2	 	 	1.1573	5	12
BE	73	7327	1	24	3	2006	75	M	2	 	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	3.9884	5	2
BE	74	7328	1	26	3	2006	81	F	2	 	4	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	3.9884	0	4
BE	75	7329	3	26	3	2006	8	M	1	7	7	15	 	BE	4	12	42	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	1	BE	N	2	1	 	 	0.4368	0	6
BE	76	7330	1	24	3	2006	23	M	5	 	7	15	 	BE	4	27	50	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.6037	5	17
BE	77	7331	1	22	3	2006	45	F	1	7	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	2	2	 	 	1.3978	3	6
BE	78	7332	1	23	3	2006	24	M	1	7	7	15	 	BE	4	21	45	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	2	1	 	 	0.6037	4	16
BE	79	7333	1	23	3	2006	57	F	4	 	2	9	 	BE	3	23	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0135	4	9
BE	80	7334	1	26	3	2006	71	F	2	 	0	0	 	BE	2	77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	2.285	0	2
BE	81	7335	1	24	3	2006	56	F	2	 	7	15	 	BE	3	26	67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0135	5	8
BE	82	7336	1	18	3	2006	23	M	4	 	7	15	 	BE	4	20	48	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.6037	6	18
BE	83	7337	1	24	3	2006	52	F	3	 	4	12	 	BE	3	19	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	4	 	 	0.8367	5	21
BE	84	7338	1	25	3	2006	61	F	3	 	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.882	6	11
BE	85	7339	1	24	3	2006	54	M	1	7	7	15	 	BE	4	28	53	80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.6693	5	26
BE	86	7340	1	23	3	2006	47	F	1	7	3	12	 	BE	5	14	19	22	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	2	2	 	 	1.0331	4	41
BE	87	7341	1	24	3	2006	39	F	1	7	7	15	 	BE	4	7	9	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	22	 	 	 	 	N	1	1	 	 	1.2112	5	36
BE	88	7342	1	22	3	2006	55	M	1	7	7	15	 	BE	2	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	0.9522	3	40
BE	89	7343	1	23	3	2006	52	F	1	7	2	9	 	BE	2	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0549	4	24
BE	90	7344	1	23	3	2006	56	M	6	 	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0573	4	3
BE	91	7345	1	27	3	2006	54	F	3	 	7	15	 	BE	4	19	24	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.6693	1	10
BE	92	7346	1	26	3	2006	57	M	6	 	2	9	 	BE	4	18	20	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.5455	0	3
BE	93	7347	1	27	3	2006	62	F	2	 	3	12	 	BE	2	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.7616	1	4
BE	94	7348	1	23	3	2006	75	M	2	 	2	9	 	BE	2	67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	2.285	4	2
BE	95	7349	1	24	3	2006	56	F	1	8	4	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	6	 	 	 	 	N	2	2	 	 	1.0573	5	22
BE	96	7350	1	24	3	2006	44	M	1	7	3	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	1	4	 	 	2.3019	5	25
BE	97	7351	1	26	3	2006	20	M	5	 	3	12	 	BE	4	26	50	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	0.6037	0	35
BE	98	7352	1	22	3	2006	26	F	1	7	7	15	 	BE	2	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	2	2	 	 	1.0649	3	13
